Ticker,Sector,Current Price,10d Change %,Vol Spike,RSI,MACD Hist,Rebound Score,Signal Score,Last Updated
CVX,Energy,187.54,-9.7,0.62,34.2,-2.72,19.3,16.4,05:43:38
XOM,Energy,152.15,-8,0.56,41,-1.95,16.4,13.9,05:43:38
TSLA,Tech,346.82,-6.8,0.71,40.9,-1.86,16.2,13.8,05:43:38
MSFT,Tech,371.11,1.4,0.57,39.7,1.45,15.3,25,05:43:38
ZIM,Shipping,26.25,0,0.21,56.9,-0.06,15.1,12.8,05:43:37
AAPL,Tech,259.55,2.6,0.39,65.7,1.37,15.1,24.8,05:43:38
NEE,Renewable,93.92,3,0.32,80,0.18,15.1,24.8,05:43:38
ENPH,Renewable,30.94,-23,0.64,21.4,-0.91,12,10.2,05:43:38
NVDA,Tech,188.79,10.3,0.75,68.3,1.8,0.2,12.2,05:43:37
AMD,Tech,245.58,20.5,0.82,73.9,4.55,0.2,12.2,05:43:38
FSLR,Renewable,203.07,9.3,0.56,58,2.13,0.2,12.2,05:43:38
SBLK,Shipping,24.23,7.7,0.38,64,0.18,0.1,12.1,05:43:37
MATX,Shipping,171.15,4.8,0.28,74.6,1.27,0.1,12.1,05:43:38
