Ticker,Company,Market,Currency,Price,Change %,RSI,Rebound Score,Profit Opp %,Volume,Vol Gate
QUB.AX,Qube Holdings Limited,ASX,AUD,5,0.5,85.7,100,12,2011758,✅ PASS
ASX.AX,ASX Limited,ASX,AUD,58.71,0.51,85.5,82,9.8,751996,✅ PASS
TCL.AX,Transurban Group,ASX,AUD,13.67,0.22,73.3,62,7.4,2733739,✅ PASS
GLEN.L,Glencore plc,EU,GBP,564.101,-0.12,14.1,59.2,7.1,69076,⚠️ LOW
AGL.AX,AGL Energy Limited,ASX,AUD,9.67,0.42,71.4,46.1,5.5,758074,✅ PASS
ZIM,ZIM Integrated Shipping Services Ltd.,US,USD,26.39,0.17,50,42.2,5.1,73630,✅ PASS
AEM,Agnico Eagle Mines Limited,US,USD,218.73,0.11,73.6,39.5,4.7,79088,✅ PASS
NEM,Newmont Corporation,US,USD,120.84,0.04,68.1,38.7,4.6,199773,✅ PASS
VALE,Vale S.A.,US,USD,16.97,-0.09,22.7,38.4,4.6,867307,✅ PASS
CVX,Chevron Corporation,US,USD,188.54,0.01,83.9,37.7,4.5,382351,✅ PASS
MATX,"Matson, Inc.",US,USD,171.09,-0.34,35.8,36,4.3,12355,✅ PASS
FCX,Freeport-McMoRan Inc.,US,USD,67.84,-0.04,26.2,35.2,4.2,330029,✅ PASS
CCJ,Cameco Corporation,US,USD,116.1,0,20.8,32.5,3.9,100789,✅ PASS
AAPL,Apple Inc.,US,USD,260.38,-0.03,70.3,32,3.8,665204,✅ PASS
BPT.AX,Beach Energy Limited,ASX,AUD,1.21,-0.41,36,31.8,3.8,234780,✅ PASS
ENPH,"Enphase Energy, Inc.",US,USD,31.19,-0.06,73.8,31.1,3.7,195175,✅ PASS
COP,ConocoPhillips,US,USD,122.54,-0.05,68.6,29.6,3.6,789668,✅ PASS
BHP.AX,BHP Group Limited,ASX,AUD,53.98,0,32,25.8,3.1,2920,⚠️ LOW
S32.AX,South32 Limited,ASX,AUD,4.63,0.43,66.7,25.4,3,4180092,✅ PASS
TSLA,"Tesla, Inc.",US,USD,348.895,0.04,67.6,25,3,565757,✅ PASS
NVDA,NVIDIA Corporation,US,USD,188.64,-0.01,35.5,23.9,2.9,1895632,✅ PASS
XRO.AX,Xero Limited,ASX,AUD,71.46,-0.29,29.8,23.9,2.9,249622,✅ PASS
VOD.L,Vodafone Group Public Limited Company,EU,GBP,117.9,0.04,34.9,23.8,2.9,55729,⚠️ LOW
AMD,"Advanced Micro Devices, Inc.",US,USD,245.02,0.04,35.2,23.7,2.8,447239,✅ PASS
STO.AX,Santos Limited,ASX,AUD,7.88,0,27.3,23.1,2.8,63105,✅ PASS
360.AX,"Life360, Inc.",ASX,AUD,19.48,-0.15,43.2,23,2.8,153163,✅ PASS
DAC,Danaos Corporation,US,USD,115.03,-0.23,50.6,22.9,2.7,3735,✅ PASS
9988.HK,Alibaba Group Holding Limited,Asia,HKD,125.5,0.08,50,21.7,2.6,5042588,✅ PASS
FSLR,"First Solar, Inc.",US,USD,203.52,0.1,63.7,20.8,2.5,40540,✅ PASS
GOOGL,Alphabet Inc.,US,USD,317.25,0.02,38.1,20,2.4,482105,✅ PASS
MSFT,Microsoft Corporation,US,USD,370.87,0.02,39.4,19.4,2.3,524131,✅ PASS
CWEN,"Clearway Energy, Inc.",US,USD,41.07,-0.05,43.3,19,2.3,15063,✅ PASS
NXT.AX,NEXTDC Limited,ASX,AUD,12.82,-0.62,23.5,18.7,2.2,659703,✅ PASS
CMRE,Costamare Inc.,US,USD,17.24,0.38,65.4,18.3,2.2,14322,✅ PASS
ORG.AX,Origin Energy Limited,ASX,AUD,12.38,0.41,64,18.2,2.2,1938412,✅ PASS
NEE,"NextEra Energy, Inc.",US,USD,94.11,-0.08,59.1,17.2,2.1,140123,✅ PASS
RIO.AX,Rio Tinto Group,ASX,AUD,171.23,-0.01,29.2,16.9,2,298886,✅ PASS
OXY,Occidental Petroleum Corporation,US,USD,57.995,-0.05,50,14.1,1.7,294164,✅ PASS
XOM,Exxon Mobil Corporation,US,USD,152.3,0.02,54.2,13,1.6,768494,✅ PASS
GOLD,"Gold.com, Inc.",US,USD,44,0.18,34.4,12.4,1.5,6927,✅ PASS
SCCO,Southern Copper Corporation,US,USD,192.51,0.18,65.9,9.9,1.2,50884,✅ PASS
MEZ.AX,Meridian Energy Limited,ASX,AUD,4.64,0.43,70,9.8,1.2,98,⚠️ LOW
TNE.AX,Technology One Limited,ASX,AUD,27.69,0.27,72.5,9.8,1.2,372532,✅ PASS
SBLK,Star Bulk Carriers Corp.,US,USD,24.235,0.02,57.7,9.6,1.2,32321,✅ PASS
BEPC,Brookfield Renewable Corporation,US,USD,42.55,-0.05,53.1,8.1,1,36302,✅ PASS
MCY.AX,Mercury NZ Limited,ASX,AUD,5.31,0,47.9,7.7,0.9,8,⚠️ LOW
MIN.AX,Mineral Resources Limited,ASX,AUD,57.98,-0.29,35,6.8,0.8,239881,✅ PASS
IFT.AX,Infratil Limited,ASX,AUD,10.04,0.3,52.4,6.3,0.8,113693,✅ PASS
PME.AX,Pro Medicus Limited,ASX,AUD,126.92,0.17,55.6,4.8,0.6,84439,✅ PASS
CEN.AX,Contact Energy Limited,ASX,AUD,7.81,0.77,64.1,4.8,0.6,13,⚠️ LOW
WDS.AX,Woodside Energy Group Ltd,ASX,AUD,33.28,0,85.2,4.4,0.5,8644,⚠️ LOW
BP.L,BP p.l.c.,EU,GBP,572.321,0.06,53.1,1.5,0.2,127804,✅ PASS
WTC.AX,WiseTech Global Limited,ASX,AUD,37.63,-1.39,20.3,1.2,0.1,676683,✅ PASS
WHC.AX,Whitehaven Coal Limited,ASX,AUD,8.12,0,57.1,1.1,0.1,20603,⚠️ LOW
REA.AX,REA Group Limited,ASX,AUD,158.56,-0.03,69.2,0.9,0.1,403,⚠️ LOW
IGO.AX,IGO Limited,ASX,AUD,8.15,0,53.8,0.3,0,8315,⚠️ LOW
FMG.AX,Fortescue Ltd,ASX,AUD,20.26,0.25,46.3,0,0,2192197,✅ PASS
