Ticker,Current Price,5d Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
FCX,66.45,8.6,17.7,0.71,3.6,78.1,10.58,Mining
NVDA,183.91,4.6,168.7,0.69,2.1,55.9,6.1,Tech
VALE,16.65,3.7,27.9,0.77,2.4,76.3,5.37,Mining
NEM,119.01,4.6,11.6,0.59,3.1,79.7,3.75,Mining
AAPL,260.49,1.9,40.1,0.7,1.4,65.7,2.68,Tech
NEE,94.48,1.8,8.9,0.83,1.1,60.7,1.78,Renewable
S32.AX,4.62,3.1,18.0,0.27,3.3,68.6,1.48,Mining
BHP.AX,54.05,2.8,10.0,0.39,2.2,73.9,1.41,Mining
NXT.AX,12.82,9.5,2.5,0.34,4.1,45.3,0.91,Tech
ASX.AX,58.17,9.0,1.0,0.74,2.0,81.9,0.86,Shipping
QUB.AX,4.99,1.7,8.8,0.32,0.6,64.6,0.69,Shipping
SBLK,24.19,2.3,1.4,0.63,2.5,60.3,0.26,Shipping
ZIM,26.4,1.7,1.9,0.56,1.4,55.8,0.24,Shipping
RIO.AX,171.44,2.6,1.5,0.36,2.4,70.4,0.18,Mining
MIN.AX,57.87,2.6,1.2,0.33,4.1,62.5,0.11,Mining
MATX,172.1,4.4,0.3,0.61,1.9,70.0,0.1,Shipping
REA.AX,158.49,-1.1,0.3,0.43,2.3,49.8,-0.02,Tech
IGO.AX,8.12,-0.4,3.1,0.23,3.5,67.8,-0.03,Renewable
TNE.AX,27.51,-1.4,1.5,0.42,2.9,58.4,-0.1,Tech
ORG.AX,12.35,-0.5,5.0,0.38,1.8,60.9,-0.13,Energy
FSLR,197.25,-1.1,1.7,0.63,2.6,48.2,-0.14,Renewable
AGL.AX,9.63,-2.9,2.8,0.28,1.8,62.2,-0.3,Renewable
STO.AX,7.9,-0.9,23.0,0.24,1.8,46.4,-0.41,Energy
XRO.AX,71.65,-6.9,0.7,0.87,3.6,41.6,-0.51,Tech
WTC.AX,37.9,-4.3,1.8,0.89,4.7,42.6,-0.71,Tech
TCL.AX,13.62,-1.6,5.9,1.03,1.1,40.8,-1.31,Shipping
WDS.AX,33.12,-5.6,10.5,0.33,3.3,47.2,-2.32,Energy
FMG.AX,20.25,-4.0,6.5,0.75,2.5,61.0,-2.41,Mining
BPT.AX,1.21,-6.0,16.1,0.31,2.7,39.9,-3.45,Energy
CVX,190.36,-3.6,15.2,0.77,1.9,36.9,-5.31,Energy
XOM,155.04,-3.6,25.9,1.0,2.1,46.1,-6.83,Energy
WHC.AX,8.06,-12.8,7.4,0.71,3.7,38.4,-7.67,Energy
ENPH,31.26,-18.3,5.2,1.26,4.2,21.2,-13.35,Renewable
TSLA,345.62,-9.3,64.9,0.96,2.6,36.4,-16.51,Tech
