Ticker,Price,5d %,Vol Spike,RSI,Signal,Sector
FCX,66.45,8.6,0.71,53.9,1.217,Mining
BHP.AX,54.56,8.3,0.64,50.2,1.067,Mining
RIO.AX,171.76,6.4,0.75,47.3,0.896,Mining
IGO.AX,8.14,3.7,0.9,50.7,0.624,Renewable
NVDA,183.91,4.6,0.69,47.6,0.603,Tech
VALE,16.65,3.7,0.73,52.1,0.559,Mining
CCJ,115.54,4.0,0.6,54.5,0.483,Energy
WTC.AX,38.62,1.6,1.78,46.2,0.448,Tech
MATX,172.1,4.4,0.48,48.2,0.407,Shipping
NEM,119.01,4.6,0.57,39.1,0.384,Mining
SBLK,24.19,2.3,0.66,59.6,0.349,Shipping
QUB.AX,4.99,2.7,0.51,46.8,0.273,Shipping
NEE,94.48,1.8,0.83,39.7,0.238,Renewable
ZIM,26.4,1.7,0.56,56.7,0.222,Shipping
FMG.AX,20.53,1.1,0.76,51.7,0.16,Mining
STO.AX,7.95,-0.1,0.59,34.4,-0.018,Energy
FSLR,197.25,-1.1,0.62,48.1,-0.138,Renewable
CVX,190.36,-3.6,0.65,42.3,-0.408,Energy
XOM,155.04,-3.6,0.74,40.5,-0.44,Energy
XRO.AX,73.41,-2.3,1.86,47.2,-0.754,Tech
WHC.AX,8.39,-9.3,0.63,58.5,-1.276,Energy
TSLA,345.62,-9.3,0.94,42.4,-1.479,Tech
ENPH,31.26,-18.3,1.24,41.4,-3.416,Renewable
