Ticker,Current Price,1mo Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
VALE,16.65,8.5,27.9,0.73,2.4,76.3,11.75,Mining
FCX,66.45,8.0,17.7,0.71,3.6,78.1,9.84,Mining
BPT.AX,1.21,8.1,16.1,0.26,2.7,39.2,3.8,Energy
XOM,155.04,2.3,25.5,0.74,2.1,46.1,3.22,Energy
NEE,94.48,3.1,8.9,0.83,1.1,60.7,3.11,Renewable
WDS.AX,32.77,7.7,10.5,0.25,3.3,45.6,2.36,Energy
S32.AX,4.61,5.6,18.0,0.21,3.3,68.3,2.04,Mining
STO.AX,7.8,5.8,23.0,0.18,1.8,43.9,2.04,Energy
NEM,119.01,2.4,11.6,0.57,3.1,79.7,1.9,Mining
BHP.AX,54.21,4.3,10.0,0.32,2.2,74.9,1.76,Mining
ASX.AX,58.4,18.0,1.0,0.55,2.0,82.2,1.26,Shipping
AGL.AX,9.67,7.2,2.8,0.23,1.8,63.9,0.59,Renewable
RIO.AX,171.75,10.6,1.5,0.3,2.4,70.8,0.58,Mining
ORG.AX,12.31,5.8,4.9,0.15,1.8,59.9,0.55,Energy
SBLK,24.19,3.8,1.4,0.63,2.5,60.3,0.42,Shipping
FMG.AX,20.07,0.5,6.5,0.63,2.6,59.1,0.23,Mining
MATX,172.1,11.8,0.3,0.48,1.9,70.0,0.22,Shipping
QUB.AX,4.99,0.5,8.7,0.21,0.6,64.6,0.13,Shipping
IGO.AX,8.1,2.0,3.0,0.18,3.5,67.2,0.12,Renewable
TNE.AX,27.37,0.8,1.5,0.31,2.9,57.6,0.05,Tech
REA.AX,157.98,-6.8,0.3,0.32,2.3,49.3,-0.08,Tech
MIN.AX,57.61,-4.5,1.2,0.25,4.1,61.9,-0.14,Mining
AAPL,260.49,-0.1,40.0,0.66,1.4,65.7,-0.16,Tech
NXT.AX,12.66,-2.6,2.5,0.23,4.1,44.1,-0.17,Tech
FSLR,197.25,-1.5,1.7,0.62,2.6,48.2,-0.19,Renewable
ZIM,26.4,-2.8,1.9,0.56,1.4,55.8,-0.38,Shipping
XRO.AX,71.49,-12.7,0.7,0.64,3.6,41.4,-0.68,Tech
CVX,190.36,-0.7,15.1,0.65,1.9,36.9,-0.93,Energy
NVDA,183.91,-1.1,168.7,0.69,2.1,55.9,-1.49,Tech
WTC.AX,37.69,-23.3,1.7,0.7,4.7,42.3,-3.06,Tech
WHC.AX,7.93,-9.0,7.3,0.45,3.8,37.2,-3.35,Energy
TCL.AX,13.52,-5.7,5.9,0.97,1.2,38.1,-4.46,Shipping
ENPH,31.26,-27.9,5.2,1.24,4.2,21.2,-20.11,Renewable
TSLA,345.62,-15.3,64.9,0.94,2.6,36.4,-26.57,Tech
