Ticker,Current Price,1mo Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
VALE,16.65,8.5,27.9,0.73,2.4,76.3,11.85,Mining
FCX,66.45,8.0,17.7,0.71,3.6,78.1,9.71,Mining
STO.AX,7.95,7.9,23.8,0.59,1.8,54.8,9.23,Energy
S32.AX,4.58,7.5,18.6,0.67,3.4,62.3,8.73,Mining
WDS.AX,33.33,10.4,10.8,0.61,3.3,57.6,8.07,Energy
BPT.AX,1.23,10.3,16.6,0.41,2.8,49.4,7.84,Energy
BHP.AX,54.56,6.5,10.3,0.66,2.2,67.0,5.68,Mining
FMG.AX,20.53,6.5,6.6,0.77,2.6,57.0,4.1,Mining
XOM,155.04,2.3,25.5,0.74,2.1,46.1,3.26,Energy
NEE,94.48,3.1,8.9,0.83,1.1,60.7,3.15,Renewable
ASX.AX,57.45,14.9,1.0,1.38,2.0,80.9,2.7,Shipping
ORG.AX,12.35,4.7,5.1,0.82,1.8,60.9,2.61,Energy
IGO.AX,8.14,6.0,3.2,0.9,3.6,61.3,1.94,Renewable
NEM,119.01,2.4,11.6,0.57,3.1,79.7,1.9,Mining
RIO.AX,171.76,11.8,1.5,0.76,2.5,64.2,1.72,Mining
SBLK,24.19,3.8,1.4,0.63,2.5,60.3,0.43,Shipping
QUB.AX,4.99,0.6,9.1,0.51,0.6,55.3,0.4,Shipping
TNE.AX,27.89,1.6,1.5,1.06,2.9,59.5,0.32,Tech
AGL.AX,9.68,1.4,2.9,0.61,1.8,63.4,0.31,Renewable
MATX,172.1,11.8,0.3,0.48,1.9,70.0,0.22,Shipping
NXT.AX,12.9,1.2,2.6,0.65,4.2,43.4,0.21,Tech
MIN.AX,58.22,1.3,1.2,0.82,4.2,56.9,0.14,Mining
AAPL,260.49,-0.1,40.0,0.66,1.4,65.7,-0.16,Tech
FSLR,197.25,-1.5,1.7,0.62,2.6,48.2,-0.19,Renewable
REA.AX,159.28,-6.9,0.3,1.14,2.4,47.1,-0.31,Tech
ZIM,26.4,-2.8,1.9,0.56,1.4,55.8,-0.39,Shipping
CVX,190.36,-0.7,15.1,0.65,1.9,36.9,-0.94,Energy
TCL.AX,13.93,-1.3,5.9,0.94,1.0,38.4,-0.99,Shipping
NVDA,183.91,-1.1,168.7,0.69,2.1,55.9,-1.51,Tech
XRO.AX,73.41,-12.3,0.7,1.93,3.6,40.7,-2.0,Tech
WHC.AX,8.39,-4.0,7.5,0.65,3.7,45.2,-2.19,Energy
WTC.AX,38.62,-24.2,1.8,1.82,4.8,38.8,-7.95,Tech
ENPH,31.26,-27.9,5.2,1.24,4.2,21.2,-19.54,Renewable
TSLA,345.62,-15.3,64.9,0.94,2.6,36.4,-26.72,Tech
