Ticker,Current Price,5d Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
FCX,66.45,8.6,17.7,0.71,3.6,78.1,10.58,Mining
NVDA,183.91,4.6,168.7,0.69,2.1,55.9,6.1,Tech
VALE,16.65,3.7,27.9,0.77,2.4,76.3,5.37,Mining
NEM,119.01,4.6,11.6,0.59,3.1,79.7,3.75,Mining
AAPL,260.49,1.9,40.1,0.7,1.4,65.7,2.68,Tech
NEE,94.48,1.8,8.9,0.83,1.1,60.7,1.78,Renewable
BHP.AX,54.17,3.1,10.0,0.35,2.2,74.7,1.36,Mining
S32.AX,4.61,2.8,18.0,0.23,3.3,68.3,1.12,Mining
ASX.AX,58.27,9.2,1.0,0.63,2.0,82.1,0.74,Shipping
NXT.AX,12.66,8.1,2.5,0.26,4.1,44.1,0.6,Tech
QUB.AX,4.99,1.7,8.8,0.26,0.6,64.6,0.57,Shipping
SBLK,24.19,2.3,1.4,0.63,2.5,60.3,0.26,Shipping
ZIM,26.4,1.7,1.9,0.56,1.4,55.8,0.24,Shipping
RIO.AX,171.86,2.9,1.5,0.32,2.4,70.9,0.17,Mining
MATX,172.1,4.4,0.3,0.61,1.9,70.0,0.1,Shipping
MIN.AX,57.71,2.3,1.2,0.28,4.1,62.1,0.09,Mining
REA.AX,157.71,-1.6,0.3,0.36,2.3,49.1,-0.02,Tech
IGO.AX,8.1,-0.7,3.0,0.19,3.5,67.3,-0.05,Renewable
TNE.AX,27.38,-1.9,1.5,0.35,2.9,57.7,-0.12,Tech
FSLR,197.25,-1.1,1.7,0.63,2.6,48.2,-0.14,Renewable
ORG.AX,12.31,-0.8,4.9,0.29,1.8,60.0,-0.16,Energy
AGL.AX,9.67,-2.5,2.8,0.24,1.8,63.9,-0.22,Renewable
XRO.AX,71.25,-7.4,0.7,0.75,3.6,41.1,-0.47,Tech
WTC.AX,37.61,-5.0,1.7,0.78,4.7,42.1,-0.73,Tech
STO.AX,7.82,-1.9,23.0,0.2,1.8,44.2,-0.74,Energy
TCL.AX,13.56,-2.0,5.9,0.99,1.2,39.2,-1.59,Shipping
WDS.AX,32.88,-6.3,10.5,0.28,3.3,46.1,-2.16,Energy
FMG.AX,20.07,-4.8,6.5,0.67,2.6,59.1,-2.59,Mining
BPT.AX,1.21,-6.4,16.1,0.28,2.7,39.4,-3.35,Energy
CVX,190.36,-3.6,15.2,0.77,1.9,36.9,-5.31,Energy
WHC.AX,7.93,-14.1,7.3,0.55,3.8,37.2,-6.46,Energy
XOM,155.04,-3.6,25.9,1.0,2.1,46.1,-6.83,Energy
ENPH,31.26,-18.3,5.2,1.26,4.2,21.2,-13.35,Renewable
TSLA,345.62,-9.3,64.9,0.96,2.6,36.4,-16.51,Tech
